词根词缀,含义,示例
lamin,"词根：薄片,层",lamina(n. 叶片；薄层；薄板)
lanc,词根：瘦长的；矛，枪；投掷，抛,lanciform（adj. 矛状的）
land,n. 国土；陆地【词根】土地,landowner(n. 地主，土地所有者)
lang,【词根】舌头；语言,language(n.语言，语言课程)
langu,【词根】舌头；语言,language(n.语言，语言课程)
lap,/ lAp/n.腰以下到膝部分：大腿。词根：松，滑,collapse(vi. 倒塌；瓦解；暴跌)
lapi,词根：石头,lapicide(n.石工，石匠，碑文雕刻工)
lapid,词根：石头,lapidify(v.  使变成石头)
lapil,词根：石头,lapillus(n. 火山砾)
laps,【词根】滑；滑行,"elapse(vi.	(时间)过去，消逝)"
lapse,n. 失效；流逝【词根】滑落,elapse(vi. 消逝；时间过去)
larg,"词根：大,丰富",large(adj. 大的；多数的；广博的)
laryng,词根：咽喉,laryngitis(n. [耳鼻喉] 喉炎)
las,"词根：轨迹,跑道",atlas(n. 地图集；寰椎)
lass,/ lAs/n. 小女孩，少女； 情人【词根】倦,lassitude（n. 疲乏；懒散；厌倦）
lat,"【词根】拿出,带出",collate(vt. 核对，校对；校勘（col共同+late→[把两者]放在一起→校对）)
late,"/ leit/adv. 晚；迟；最近  【词根】拿出,带出",collate(vt. 核对，校对；校勘（col共同+late→[把两者]放在一起→校对）)
later,"/ 5leItE/a. 更迟的,后面的;【词根】边；侧面",lateral(adj. 侧面的，横向的adj. 侧面的，横向的)
latr,词根：崇拜,autolatry(n.自我崇拜)
latry,词根：崇拜,bibliolatry(n. 圣经崇拜；书籍崇拜)
lau,【词根】洗,laundry(n.洗衣房，洗衣店)
launc,词根：投；抛；掷,launch(vt. 发射（导弹、火箭等）；发起)
laund,【词根】洗,laundry(n.洗衣房，洗衣店)
lav,"n. 盥洗室, 厕所, 洗手间, 洗脸盆【词根】洗",lavatory(n.盥洗室，厕所)
law,"n. 法律；规律【词根】法律,放",lawyer(n. 律师；法学家)
lax,"adj.松的, 松懈的, 不严格的【词根】放松；松开",relax(vt.使松弛)
lay,vt. 躺下；产卵；搁放【词根】放,delay(vi. 延期；耽搁)
laz,词根：拖，拖延,lazy（adj. 懒惰的；懒洋洋的）
le,【后缀】动词后缀;名词后缀,joggle(vt. 啮合；摇动，摇曳；轻摇)
leag,【词根】绑，捆，束,league(n. 联盟；社团；范畴
lear,"词根：轨迹,跑道",learn(vt. 学习；得知；认识到)
leas,词根：松,release(vt. 释放；发射；让与；允许发表)
leav,词根：爱，关心,believe(vi. 信任；料想；笃信宗教)
lec,词根：诱使entice,delectable(adj. 美味的；令人愉快的)
lect,【词根】选择；聚集；读；说,neglect(vt.忽视，忽略；疏忽（neg没有+lect→没有选→疏忽）)
leg,/ leg/  腿【词根】选择；聚集；读；指定；送；法律,privilege(n.特权，优惠（privi+lege法律→有个人法律→特权）)
lega,词根：指定；任命；送,legation（n. 公使馆；使者的派遣）
legis,词根：法律,legislate(vi. 立法；制定法律（legis+late放→放出法律→立法）)
leis,词根：合法,leisure(n. 闲暇；空闲；安逸)
lem,词根：抓,dilemma(n. 困境；进退两难；两刀论法)
len,词根：离开,lend(vt. 贷；增添，提供；把……借给)
lence,"后缀：名词后缀，表示“性质”，“状态”，“程度""",corpulence（n. 臃肿，肥胖）
lency,"后缀：名词后缀，表示“性质”，“状态”，“程度""",corpulency（n. 庞大；肥胖）
leng,词根：长,length(n. 长度，长；时间的长短)
lent,后缀:充满着  ,corpulent(adj. 肥胖的)
leon,词根：狮子,leonine(adj. 狮子的，狮子般的)
lep,词根：鳞状物,leprous（adj. 不洁的；麻疯病的；患麻疯病的；鳞状的）
lepsy,【后缀】发作,epilepsy（n. [内科] 癫痫，癫痫症）
less,adj.(little的比较级)较小的【后缀】起功能转换作用,worthless(a.无价值的，无用的)
let,vi.出租【后缀】表小称或“缩小”【词根】诱使,houselet（n. 小房子）
leth,词根：oblivion（遗忘）,lethargy （ n. 昏睡；死气沉沉；嗜眠（症））
leuc,词根：白,leucocyte(n. [解剖][细胞] 白细胞)
leuk,词根：白,leukaemia(n. 白血病)
lev,【词根】提高;轻的；升,elevate（vt. 提升；举起；振奋情绪等(e出＋lev+ate→举出→升高））
levi,【词根】提高；轻的,levitate（vi. 轻轻浮起；飘浮空中）
levo,词根：left左,levodopa(n. [药] 左旋多巴)
lex,n.  法; 法律体系【词根】表示“词汇”,lexicon（n. 词典，辞典）
lg,词根：痛,otalgia（n. [耳鼻喉] 耳痛）
li,"词根：bind,tie捆,绑,束,结",alliance(n. 联盟，联合；联姻)
lib,【词根】书,library（n. 图书馆，藏书室；文库)
liber,n.书籍，登记册【词根】自由的,liberty(n. 自由；许可；冒失)
libert,词根：自由,liberty(n. 自由；许可；冒失)
libr,词根：表示“书”,"library(n.  图书馆, 藏书室)"
lic,【词根】被允许；诱使,license(n. 执照，许可证；特许)
licen,词根：表示“允许”,license(n.  许可; 执照)
lict,【词根】离开；遗留,derelict(adj. 玩忽职守的；无主的；被抛弃了的)
lid,"/ lid/ n. 盖子, 限制, 眼睑【词根】击,击打",collide（vi. 碰撞；抵触，冲突）
lide,词根：打,collide(vi. 碰撞；抵触，冲突)
lief,"/ li:f/ ad. 欣喜, 宁愿a. 乐意的【词根】提高；轻的",relief(n.减轻；救济；援救)
liev,【词根】轻，上升，提起,relieve(vt.解除； 缓解； 换班)
lif,词根：剥落，折断，除去；生命，生存,life(n. 生活，生存；寿命)
lig,"【词根】选择，收集,绑；诱使",eligible(n. 合格者；适任者；有资格者(（e 出+lig+ibe→选出来的→合格的）)
lign,词根：线,align(vt. 使结盟；使成一行)
like,"vt.喜欢, 希望, 愿意【后缀】表形容词,“像…一样”",dreamlike(adj. 梦一般的；朦胧的
lim,"词根：表示""门槛，限制""""",limit(n. 限制；限度；界线)
limin,【词根】门槛；界限,preliminary(a.预备的，初步的（pre预先+limin+ary→入门以前→初步的）)
lin,词根：线,line(n. 路线，航线；排；绳)
ling,"/ liN/ n. 鳕鱼【后缀】名词后缀,表示“小”等",catling（n. 肠线；小猫；两刃切断刀）
lingu,【词根】舌头；语言,linguistics（n. 语言学)
linq,词根：离开,delinquency(n. 行为不良，违法犯罪；失职)
linqu,【词根】离开；遗留,relinquish(vt. 放弃；放手；让渡(re+linqu离开+ish→离开不再要→放弃))
lip,"/ lip/ n. 唇, 口缘【词根】离开leave",eclipse(vt. 使黯然失色；形成蚀)
lips,词根：离开,"eclipse(n.  日蚀, 衰落, 月蚀)"
liqu,【词根】液体,liquor(n.酒；溶液，液剂)
lis,"【法】 诉讼事件, 争执, 起诉【词根】击,击打",collision（n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧）
lite,adj. 清淡的 词根：岩石,neolithic（adj. [古] 新石器时代的；早先的）
liter,/ 5li:tE/  n.(容量单位)升【词根】字母；文字,literature(n.文学；文献)
lith,【词根】石头,lithic(adj. 石的；膀胱结石的)
litig,词根：法律,litigable（adj. 可诉讼的；可在法庭相争的）
liv,词根：活；生命，生存,lively(adj. 活泼的；生动的；真实的)
live,"/ liv5 laiv/adj.活的, 生动的【词根】提高",deliver(vi. 实现；传送；履行；投递)
liver,n.  肝脏【词根】自由,deliverance(n. 释放，解救；救助；判决)
loc,【词根】地方,location(n. 位置；地点)
lock,"n.  锁; 抱, 夹【后缀】由动词构成名词",wedlock(n. 婚姻；已婚状况)
loco,/ 5lEJkEJ/n. 火车头；疯子；疯草病【词根】地方,locomotion(n. 运动；移动；旅行)
locu,词根：说话,interlocution(n.  交谈; 问答; 对话)
locut,词根：说话,interlocution(n. 对话，交谈（inter在…之间+locu+tion→二者之间说→对话）
lof,词根：升起，举起；放松,loft(n. 阁楼；顶楼；鸽房)
loft,/ lRft/  n. 阁楼；顶楼；鸽房【词根】sky（天空）,aloft（adv. 在空中；在高处；在上面）
log,"/ lRg/n.原木，圆木【词根】说,读，学",catalog(n.目录，目录册（cata向下＋log说→在下面要说的话→目录）)
logical,后缀：形容词后缀，表示“…学的”,zoological（adj. 动物学的；关于动物的）
logist,后缀:表示“…学家” ,anthologist(n. 选集的编者；文选编者)
logu,词根：说话,apologue(n.  寓言; 教训)
logue,词根：说话,dialogue(vi. 对话（dia对着+logue→对着说）)
logy,"/ 'lEugi/ a. 迟缓的, 呆呆的【词根】~学；~论",technology(n.工艺学，工艺，技术)
long,adj. 长的；过长的【词根】长的【后缀】表示方向,prolong（vt. 延长；拖延（pro向前+long→向前长→延长））
loos,词根：松，分开,loose(adj. 宽松的；散漫的；不牢固的；不精确的)
lop,v.  砍【词根】跳,gallop（n. 疾驰；飞奔）
loqu,词根：说话,eloquence(n.雄辩；口才，修辞)
los,词根：松，分开，分离,loss（n. 减少；亏损；失败；遗失）
lot,n. 命运；一块地；一堆；抽签；份额。词根：洗,lotion（n. 洗液；洗涤剂）
loung,词根：长,lounge(n. 休息室；闲逛；躺椅)
lov,词根：爱，关心,lover（n. 爱人，恋人；爱好者）
low,/ lEu/adj.低的;词根：放,lower（vi. 降低；减弱；跌落）
lu,【词根】洗，流,ablution（n. 洗礼；洗澡（常用复数）；斋戒沐浴)
lubr,词根：滑,lubricity（n. 润滑能力；不稳定（性）；狡猾；难以捉摸）
lubric,词根：slip（滑）,lubricant（n. 润滑剂；润滑油）
luc,【词根】明亮的,translucent(adj. 透明的；半透明的（trans透过+luc+ent→光透过→半透明的）)
lucr,词根：钱财,lucre（n. 收益；钱财；利润）
luct,"【词根】斗争, 挣扎",reluctant(a.不愿的，勉强的)
lud,【词根】扮演；游戏,prelude(n. 前奏；序幕；前奏曲(（ pre+lude玩，演奏→先演奏→序曲）)
lude,【词根】扮演；游戏,prelude(n. 前奏；序幕；前奏曲(（ pre+lude玩，演奏→先演奏→序曲）)
lug,/ lQg/vt.用力拖拉 n. 支托；接线片【词根】悲伤,lugubrious （adj. 悲哀的，悲惨的）
lum,【词根】光,luminary(n. 发光体；杰出人物)
lumb,词根：柔弱的，边缘，木材，沉重的坠落声,lumber（n. 木材；废物，无用的杂物）
lumin,【词根】光,luminous(a.发光的；光明的)
lun,【词根】月亮,lunar(adj. 月亮的，月球的；阴历的；银的；微亮的)
lup,词根：wolf（狼）,lupine（adj. 狼的；凶残的；贪婪的）
lus,【词根】光；演戏,illusion(n.幻想；错觉；假象)
lust,"n. 贪欲,欲望,色欲 【词根】明亮的",luster(vi. 有光泽；发亮)
lustr,【词根】光,illustrate(vt. 阐明，举例说明；图解(（il不断+lustr+ate→不断给光明→说明）)
lut,词根：洗；松，分开，分离,ablution（n. 洗礼；洗澡（常用复数）；斋戒沐浴)
luv,"【词根】洗,冲洗,流",diluvial(adj. 洪积的；大洪水的（di分开+luv+ial→冲开→水很大→大洪水的）)
lux,"词根：光,弯，转，缠绕",luxury(n. 奢侈，奢华；奢侈品)
ly,【后缀】形容词后缀;副词后缀,hourly(adv. 每小时地；频繁地)
lyr,词根：lute（笛子）,lyric（adj. 抒情的；吟唱的）
lys,【词根】分解,analysis(n. 分析；分解；验定(（ana再次+lys+is表名词→再次分解→分析）)
lyse,"vt.vi. 溶解, 溶化【词根】放松；松开",paralyse(vt. 使……无力；使……麻痹)
lyst,【词根】裂开，分解,analyst(n. 分析者；精神分析医师；分解者)
lyt,【词根】分解;放松,paralytic(adj. 麻痹的；瘫痪的；中风的)
mac,"n. 防水胶布, 雨衣, 老兄, 老弟【词根】薄的；瘦的",emaciate(vt. 使消瘦；使衰弱；使贫瘠)
mach,n.  机器; 计算机【词根】表示“机器”,machine(n.  机器; 计算机; 机械; 汽车)
machin,"n. 长尾猕猴，食蟹猴【词根】engine机器,机械",machinable(adj. [机] 可加工的，可切削的；[计] 机器可用的)
maci,词根：lean   (瘦),macilent  （adj.瘦的）
macr,"词根：long,big长,大宏",macrobian(adj. 长寿的)
macro,"n.宏,巨【前缀】大；长",macrocosm(n 宏观世界(macro宏大+cosm))
macul,词根：spot  (斑点),maculate （vt. 使有污点；弄污）
mag,词根：能，力，大，强力,magic(n. 巫术；魔法；戏法)
magn,【词根】很大的,magnate(n. 巨头；大资本家；要人)
magnet,n.  磁铁【词根】磁,magnet(n. 磁铁；[电磁] 磁体；磁石)
maha,词根：伟大的,mahatma(n. 大圣；超人)
main,/ mein/a.主要的【词根】停留；手,remain(vi. 保持；依然；留下；剩余；逗留)
maj,【词根】很大的,majestic(adj. 庄严的；宏伟的)
mak,词根：揉，制，造，适合,make(n. 制造；构造)
mal,【医】 [疾]病【前缀】不舒服；与bene相反【词根】坏,malice(n.恶意；蓄意犯罪)
male,a.男的，雄的 n.男子【前缀】恶、不良、失、不,malediction(n. 坏话，诅咒（male坏+dict+ion→说坏话）)
mall,/ mR:l/n. 购物商场；林荫路【词根】hammer（锤子）,malleable （adj. 可锻的；可塑的；有延展性的；易适应的）
malle,词根：锤子,malleable(adj. 可锻的；可塑的；有延展性的；易适应的)
mamm,词根：乳房,mammal(n. [脊椎] 哺乳动物)
mammo,词根：乳房,mammogen(n. （垂体）激乳腺素；乳腺发育激素)
man,n. 人；男人【词根】停留；手【后缀】表示“人”,manual(n.  手册; 指南)
mancer,词根：占卜者,necromancer(n. 巫师)
mancy,词根：占卜,necromancy(n. 巫术，妖术)
mand,【词根】命令；委托,demand(vt.要求；需要；询问)
mania,/ 5meinjE/  n.狂热，癖好【词根】疯狂,maniac(n. 疯子，躁狂者)
manu,【词根】手,manuscript(n.手稿，底稿，原稿)
mar,/ mB:/vt. 损毁；损伤；糟蹋；玷污【词根】海,submarine(a.水下的)
marc,/ mB:k/ n. 榨渣【词根】标志,demarcate(vt. 划分界线；区别（de加强+marc[=mark]+ate→加强标志→划界线）)
marg,词根：记号，标记，边界,margin(n. 边缘；利润，余裕；页边的空白)
mari,【词根】海,submarine(a.水下的)
marin,【词根】海,mariner(n. 水手；船员)
marit,词根：婚姻,antemarital(adj. 婚前的(ante+marit婚姻+al→婚前的))
mark,/ ma:k/n.记号；痕迹【词根】做记号；边界,bookmark(n. 书签（等于bookmarker）；标记)
mas,词根：男,masculine(n. 男性；阳性，阳性词)
masc,【词根】男人,masculinity(n. 男性；男子气；刚毅)
mascul,词根：male（雄性）,masculine  （adj. 男性的；阳性的；男子气概的）
mast,"/ mB:st/ n. 桅, 桅杆, 杆【词根】乳房",mastoid(n. 乳突；乳般突起)
mastic,/ 'mAstik/ n. 乳香；乳香脂；胶泥【词根】嚼,masticate （vt. 咀嚼；粉碎；撕捏）
mat,n.  地席【词根】动,automatic(a.自动的；机械的)
mater,n.  母亲; 妈妈【词根】母亲 ,"maternal(adj.  母亲的, 母方的, 母系的)"
matern,词根：母亲,"maternal(adj.  母亲的, 母方的, 母系的)"
matr,词根：母亲,matron(n. 主妇；保姆；妇女；女舍监)
matri,词根：母亲,matrimony(n. 结婚，婚礼；婚姻生活（matri+mony状态→有母亲状态→婚姻）)
matur,"词根：成熟,早",maturity(n. 成熟；到期；完备)
maun,"词根：表示“手”""",manual(n.  手册; 指南)
max,n.  最大【词根】很大的,maximum(n.最大量)
may,/ mei/n.aux. 可能。词根：能，力，大，强力,dismay(n.惊慌，沮丧，灰心)
maz,词根：乳房；迷惑,amazon（n.亚马逊河（南美洲大河）； 蜂鸟； 无乳腺者）
me,"/ mi:, mi/  我(宾格)。【词根】走;模式;量度;医治;妈",permeate （vt. 渗透，透过；弥漫）
mea,词根：草;经过,meadow(n. 草地；牧场)
meal,n.  膳食【后缀】表示一次所取之量或部分 ,piecemeal(adv. 零碎地；逐个地)
meas,【词根】测量,measurement(n.衡量，测量；尺寸)
mech,词根：表示“机器”,"mechanic(n.  机械工, 技工, 修理工)"
mechan,【词根】机器,mechanism(n.机械装置；机制)
med,【词根】治疗【前缀】=mid中间,remedy(n.&vt.治疗；补救)
medi,【词根】中间的,Mediterranean(n.地中海)
medic,"n. 医学工作者,医科学生【词根】heal医疗,治疗,康复",medical(adj. 医学的；药的；内科的)
medit,词根：ponder（思考）,meditate （vt. 考虑；计划；企图）
medl,词根：mic（混合）,medley（n. 混合；混杂；混合物）
meg,词根：大,megalith(n. 巨石)
mega,"【计】 兆; 百万【词根】大【前缀】百万,兆",megalith(n. 巨石)
megal,词根：enormous特大,megalopolis(n. 特大都市；人口稠密地带)
megalo,词根：巨大,megalopolis（n. 特大都市；人口稠密地带）
mel,词根：磨，碾，软;坏，恶，不良，苹果,melt(vi. 熔化，溶解；渐混)
melan,【词根】黑色的,melancholy(n.&a.忧郁(的)，悲伤)
melior,词根：better（更好）,ameliorate （vt. 改善；减轻（痛苦等）；改良）
mell,词根：honey（蜜）,mellifluous（adj. 流畅的；如蜜般的）
mem,【词根】记忆,memoir(n. 回忆录；研究报告；自传；实录)
memb,【词根】记忆,mnemonics(n. 记忆术(（mem+onic表形容词→记忆的)
member,/ 5membE/  成员【词根】memnory记忆,disremember(vt. 忘记，忘却)
memor,【词根】记得,memory(n.记忆；回忆；存储)
men,/ men/  n. 男人，人类（man的复数）【词根】月;引导,menstrual(adj. 月经的；每月的；一月一次的)
mend,/ mend/v.修理，修补【词根】改错;命令；委托,emendvt. (修订；改进（e出+mend→改正出错误→改正）)
mendic,词根：beg（乞讨）,mendicant（adj. 行乞的；托钵修道会的）
mens,"【医】 精神, 意志【词根】月；测量",dimension(n. [数] 维；尺寸；次元；容积)
ment,【词根】思考；心智;记忆【后缀】表示抽象名词,mention(vt.&n.提及，说起（ment+ion→有思考→想到，提到)
mer,词根：闪现，光线；海，水池,mermaid（n. 美人鱼（传说中的）；女子游泳健将）
merc,【词根】贸易；报酬,mercantile(n. 商品)
merch,【词根】贸易；报酬,merchant(n.商人；零售商)
merg,【词根】沉，没,emerge(vi.浮现，出现；显露)
merge,/ mE:dV/v.合并，结合，融合【词根】沉浸；浸泡,emergency(n.紧急情况，突然事件)
meri,词根：中间,"meridian（adj. 子午线的；最高点的〔 meri 中间, di 日,-an 名词后缀 〕）"
merit,"/ 'merit/ n. 优点, 功绩, 价值【词根】应得;获得",meritorious(adj. 有功绩的；有价值的；值得称赞的)
mers,【词根】沉浸；浸泡,immerse(vt.沉浸；给…施洗礼（in进+merse→沉进去→沉浸）)
merse,词根：海；沉，浸,immerse（vt. 沉浸；使陷入）
mes,词根：中间 ,mesial(adj. 近中的；中间的；中央的)
meso,词根：中间 ,mesosphere(n. [气象] 中间层；[气象] 中圈)
mess,"/ mes/ n. 食堂, 伙食, 用膳【词根】：送；投；掷",message(n. 消息；差使；启示；预言)
met,/ met/（meet得过去式）遇见【前缀】中间，中位，转,mettle(n.内在的气质； 精神，勇气； 气概)
meta,【计】 元的【前缀】超；在…之中,metaphysical(adj. 形而上学的；超自然的)
meter,"/ 5mi:tE/n.米, 公尺, 计, 表, 【词根】测量",thermometer(n.温度计，寒暑表)
metr,【词根】测量,centimetre(n.公分，厘米)
metro,n.地下铁道 【前缀】表示“测量，度量”之义,metrology（n. 度量衡；度量衡学）
metry,后缀：表示“测量(学)”，“度量(学)”，“测量法”,audiometry（n. [耳鼻喉] 听力测定；[耳鼻喉] 听力测验法）
mezz,词根：一半,mezzo（adv. （意）一半；中央）
micro,"【计】 表示""小"",""微""【前缀】小,微量,百万分之一",microwave(n.微波)
mid,/ mid/prep.在…中间，a.中央的【前缀】中间,midnight(n.午夜，子夜，夜半)
mids,【前缀】正中的,midst(n.中部，中间，当中)
migr,【词根】移动；流浪,migrate(vi. 移动；随季节而移居；移往)
migra,【词根】移动；流浪,migrate(vi. 移动；随季节而移居；移往)
mil,n.  密耳; 毫升【词根】磨，碾，软,mill(n. 工厂；磨坊；磨粉机)
milit,【词根】军人；打仗,military(a.军事的；军人的)
mill,n.  磨坊; 磨臼【词根】千,millennium(n. 千年期，千禧年；一千年，千年纪念；太平盛世)
milli,【计】 毫【前缀】千分之一,millisecond(n. 毫秒)
mim,词根：模仿imitate,mimic(vt. 模仿，摹拟)
min,【词根】突出；小的;伸,prominent(a.实起的；突出的)
mind,n. 理智，精神；；记忆力【词根】记忆,remind(vt. 提醒；使想起)
ming,【词根】混合,commingle(vi. 混合)
mini,"adj. 微型的；袖珍的【词根】小的",miniature(adj. 微型的，小规模的（mini+ature东西→小东西）)
minis,"词根：serve,manage服务,管理",administer(vt. 管理；执行；给予)
mir,【词根】惊奇，惊异,admire(（ad一再＋mire→一再让人惊喜→羡慕）)
mis,【词根】送；释放【前缀】坏，错误，否定,misconduct(n. 不端行为；处理不当)
misc,【计】 杂类新闻组【词根】混合，混杂,promiscuous(adj. 混杂的；杂乱的)
misce,【词根】混合，混杂,miscellaneous(adj. 混杂的，各种各样的；多方面的，多才多艺的
miser,n.  守财奴【词根】表示“可怜的”,"misery(n.  悲惨, 穷困, 不幸)"
miso,【前缀】讨厌，厌恶,misogyny(n. 厌恶女人（miso+gyny女人）)
miss,"n.过错, 避免, 失败, 小姐, 姑娘【词根】送；释放","mission(n. 使命，任务；代表团（miss+ion,送出→派遣）)"
mit,【词根】送；释放,emit(vt. 发出，放射；发行；发表(e出＋mit→送出［气味］等）)
mix,/ miks/n.混合【词根】混合,mixture(n.混合；混合物)
mne,词根：记得remember,amnesty(n. 大赦，特赦)
mnem,词根：表示“记忆”,mnemonic(adj.有助于记忆的; 记忆的)
mnemon,【计】 记忆单元【词根】memnory记忆,mnemonics(n. 记忆术)
mnes,词根：表示“记忆”,"amnesia(n.记忆缺失, 健忘症)"
mo,词根：妈，母亲,mother(n. 母亲；大娘)
mob,/ mRb/n.一伙人；一群暴徒【词根】移动,automobile(n.汽车，机动车)
moc,词根：扮鬼脸；遮掩，作假,mocker（n. 嘲弄者；模仿者）
mod,"a. 现代派的, 时髦的【词根】方式，模式，风度",modify(（mod+ify→规范化→修改）)
mol,"/ mEul/ n. 摩尔, 克分子【词根】饭；堆",immolate （vt. 献祭；牺牲；为供神而宰杀）；demolish （ vt. 拆除；破坏；毁坏（de去掉+mol+ish，把堆起来的东西毁掉)）
moll,"/ mRl/ n. 情妇, 妓女【词根】软",mollify(v.抚慰；变软（moll+ify化→软化→抚慰）)
mom,n.  妈妈【词根】动,momentum(n. 势头；[物] 动量；动力)
mon,等于Monday星期一【词根】劝告；吃【前缀】单一,monument(n. 纪念碑（monu警告，提醒+ment→提醒的东西→纪念碑）)
mong,n. 杂种狗【词根】混合,mongrel(n. 杂种；混血儿；杂种动物)
monger,"n.  商人, 贩子【后缀】商人，常用以构成复合词  ",ironmonger(n. 五金商；金属器具商)
moni,词根：提醒；监视,monition（n. 忠告；法庭传票；宗教法庭的诫谕）
monit,"词根：表示“警告”""",monition(n.  忠告; 法庭传票; 警告)
mono,a. 单声道的【前缀】表示单一的意思,monopoly(（mono+poly→独家卖→垄断）)
monstr,【词根】表示“显示”,demonstrable(adj. 可论证的；显而易见的)
mont,"词根：山hill,rise",promontory(n. 岬，海角；隆起，隆突)
mony,"【后缀】构成名词,表示“结果”，“情况”，“状态”",harmony(n.调合，协调，和谐)
mor,/ mR:/ n. 粗腐殖质【词根】风俗，习俗,morality(n.道德，美德，品行)
morb,词根：disease（病）,morbid（adj. 病态的；由病引起的；恐怖的）
mord,词根：表示”咬“,"mordant(adj.  尖酸的, 有腐蚀性的, 辛辣的)"
morph,"【计】 形态, 词态【词根】形状；形态",amorphous(adj. 无定形的；无组织的（a无+morph+ous→无形状的→不定形的）)
mors,词根：表示”咬“,morsel(n. 一口；（食物）少量（mors-vel表示小东西→咬一小口）)
mort,"/ mR:t/ n. 通知猎物已死的号角声, 很多【词根】死亡",immortal(n. 神仙；不朽人物(（im不+mortal→不死的）)
most,"/ mEust/adj.最多的, 多数的【后缀】形容词后缀",utmost(a.最远的)
mot,/ mEu]/n.警句【词根】移动,locomotive(n.火车头，机车（loco地方+mot动…从一地动到另一地）)
mount,"/ maunt/n.乘用马, 衬纸, 山, 装配【词根】山；上升",mountain(n. 山；山脉)
mous,词根：鼠,mouse(n. 鼠标；老鼠；胆小羞怯的人)
mov,【词根】移动,remove(vt.移动，搬开；脱掉)
muc,"词根：粘,粘液",mucigen([生化] 粘蛋白原)
mucil,"词根：粘,粘液",mucilage(n. [植] 粘液，粘质物；胶水)
mud,"/ mQd/n. 泥；烂泥；泥浆。词根：混乱的,粘液的，湿",muddy(adj. 泥泞的；模糊的；混乱的)
mug,/ mQg/n. 杯子；脸；苦读者。词根：粘液的，湿，滑的,smuggle(vt. 走私；偷运)
mult,【前缀】多的,multitude(n. 群众；多数)
multi,多【前缀】许多,multiply(adj. 多层的；多样的)
mun,【词根】公共的;服务；吃,community(n. 社区；[生态] 群落；共同体)
mund,词根：world世界,mundane(adj. 世俗的，平凡的；世界的，宇宙的)
mune,词根：手；公共，服务,commune（n. 公社）
muni,词根：公共的,municipal(adj. 市政的，市的；地方自治的)
mur,【词根】墙壁,mural(adj. 墙壁的)
murd,"词根：死,伤害,咬,擦",murder(vt. 谋杀，凶杀)
mus,词根：鼠；想；粘液的，湿，滑的；娱乐,muscle(n. 肌肉；力量)
muscl,词根：肌,muscle(n. 肌肉；力量)
muscul,词根：肌,musculature(n. 肌肉组织；[解剖] 肌肉系统)
mut,【词根】改变,mutable(adj. 易变的，不定的；性情不定的)
my,/ mai/  我的【词根】muscle肌,myalgia(n. [外科] 肌痛)
myc,词根：真菌,mycology(n. 真菌学)
myel,【医】 脊髓【词根】髓,myelin(n. [生化] 髓磷脂（等于myeline）)
myri,"词根：一万,无数",myriad(adj. 无数的；种种的)
myria,"【前缀】万,无数",myriad(adj. 无数的；种种的)
myst,【词根】神秘,mystery(n.神秘；神秘的事物)
n,【前缀】非；不,none(pron.没有人)
nai,词根：出生,na?ve(n. 天真；天真的人；简捷法)
naiss,词根：出生，产生,naissance（n. 诞生，产生）
nak,词根：裸露,naked(adj. 裸体的；无装饰的；无证据的；直率的)
nam,词根：名,name(n. 名称，名字；姓名；名誉)
nano,词根：十亿分之一,nanosecond(n. 纳秒；十亿分之一秒)
nar,【词根】知道;鼻子,narrative(n. 叙述；故事；讲述)
narc,词根：麻木;昏迷,narcissism(n. [心理] 自恋，自我陶醉)
narco,【词根】麻木,narcotic(adj. 麻醉的；有麻醉作用的；催眠的)
nas,【词根】鼻子,nasal(adj. 鼻的；鼻音的)
nasc,词根：出生,nascent(adj. 初期的；开始存在的，发生中的)
nat,【词根】出生；天生,nature(n.大自然；本性；性质)
nau,【词根】船,nausea(n. 恶心，晕船；极端的憎恶)
naus,词根：表示“船”,"nausea(n. 反胃, 恶心, 晕船)"
naut,"词根：表示“船”， 引申为“海员”""",astronaut(n.宇航员; 太空人)
nav,【词根】船,navy(n.海军)
nce,后缀:从一个地方  ,hence(adv. 因此；今后)
nd,后缀:构成名词,fiend(n. 魔鬼；能手；成癖者)
ne,"/ nei/ a. 原姓...的, 原名...的【前缀】新;非；不",new(adj. 新的，新鲜的；更新的；初见的)
nebul,【词根】云;雾,nebulous(adj. 朦胧的；星云的，星云状的)
nec,词根：kill（杀）,internecine（adj. 两败俱伤的；互相残杀的；致命的）
necr,"词根：die,corpse死,死尸",necrobiosis(n. 渐进性坏死)
necro,【词根】死亡；死的,necrology(n. 死者名册；讣告)
nect,【词根】绑；连接,connection(n.连接，联系；连贯性)
neg,【词根】否认;非；不,negate(vt. 否定；取消；使无效)
negat,词根：deny（否认）,negative（adj. [数] 负的；消极的；否定的；阴性的）
negr,【词根】黑,nigrify(vt. 使…成黑色；变黑（nigr+ify化→黑化→变黑）)
nei,【词根】附近,neighbouring(a.邻近的，接壤的)
neigh,"/ nei/ n. 马嘶声【词根】接近,近",neighbour（n.邻居； 邻近的人[物]； 邻国）
neo,"【计】 最新式【前缀】新,新近",neologism(n. 新词；新义；新词的使用)
nepho,前缀：云  ,nephology(n. [气象] 云学)
nephr,前缀：肾  ,nephritic(adj. 肾脏的)
nepot,"词根：侄子,外甥",nepotism(n. 裙带关系；起用亲戚)
nerv,【词根】神经,nervous(a.神经的；易激动的)
